"","Index","player_name","ContractYear","Age","Current Year Salary","year","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"123",122,"Derrick Favors",2018,"27",16900000,2018,"155","Derrick Favors","C","26","UTA","77","77","2153","395","702",".563","14","63",".222","381","639",".596",".573","140","215",".651","198","354","552","102","54","82","88","164","944"
"124",123,"Dwight Powell",2016,"27",8375000,2016,"361","Dwight Powell","PF","24","DAL","69","2","992","146","296",".493","2","16",".125","144","280",".514",".497","105","142",".739","84","189","273","44","36","24","40","118","399"
"125",124,"Kyle Anderson",2018,"25",8641000,2018,"13","Kyle Anderson","SF","24","SAS","74","67","1978","231","438",".527","19","57",".333","212","381",".556",".549","104","146",".712","84","312","396","202","115","60","94","114","585"
"126",125,"Jae Crowder",2015,"28",6796117,2015,"108","Jae Crowder","SF","24","TOT","82","17","1647","229","545",".420","61","208",".293","168","337",".499",".476","109","141",".773","72","221","293","94","72","25","49","137","628"
"128",127,"ETwaun Moore",2016,"29",8801363,2016,"311","ETwaun Moore","SG","26","CHI","59","22","1263","187","389",".481","47","104",".452","140","285",".491",".541","22","35",".629","19","114","133","99","37","18","53","103","443"
"129",128,"Dante Exum",2018,"23",10600000,2018,"153","Dante Exum","PG","22","UTA","14","0","235","42","87",".483","5","18",".278","37","69",".536",".511","25","31",".806","4","22","26","43","8","3","20","20","114"
"130",129,"Kosta Koufos",2015,"29",7700000,2015,"267","Kosta Koufos","C","25","MEM","81","3","1348","182","358",".508","0","0","","182","358",".508",".508","55","85",".647","121","305","426","37","29","63","69","148","419"
"131",130,"Markieff Morris",2015,"29",8e+06,2015,"332","Markieff Morris","PF","25","PHO","82","82","2581","512","1100",".465","57","179",".318","455","921",".494",".491","177","232",".763","110","396","506","192","101","39","170","245","1258"
"132",131,"Cristiano Felicio",2017,"26",7843500,2017,"133","Cristiano Felicio","C","24","CHI","66","0","1040","128","221",".579","0","0","","128","221",".579",".579","60","93",".645","124","187","311","40","25","17","33","110","316"
"133",132,"PJ Tucker",2017,"33",7590035,2017,"434","PJ Tucker","SF","31","TOT","81","21","2236","199","482",".413","70","196",".357","129","286",".451",".485","72","93",".774","117","354","471","99","116","19","66","196","540"
"134",133,"Terrence Ross",2016,"27",1e+07,2016,"380","Terrence Ross","SF","24","TOR","73","7","1747","270","626",".431","131","339",".386","139","287",".484",".536","49","62",".790","21","164","185","56","54","25","46","120","720"
"135",134,"Jared Dudley",2016,"33",10470000,2016,"122","Jared Dudley","PF","30","WAS","81","41","2098","233","487",".478","100","238",".420","133","249",".534",".581","72","98",".735","54","232","286","170","75","18","80","190","638"
"136",135,"Al-Farouq Aminu",2015,"28",8042895,2015,"12","Al-Farouq Aminu","SF","24","DAL","74","3","1366","147","357",".412","34","124",".274","113","233",".485",".459","84","118",".712","114","228","342","59","70","62","55","137","412"
"137",136,"Andre Roberson",2017,"27",9259260,2017,"377","Andre Roberson","SF","25","OKC","79","79","2376","215","463",".464","45","184",".245","170","279",".609",".513","47","111",".423","98","305","403","79","94","79","51","204","522"
"138",137,"Cory Joseph",2015,"27",7e+06,2015,"256","Cory Joseph","PG","23","SAS","79","14","1444","207","411",".504","16","44",".364","191","367",".520",".523","105","143",".734","44","148","192","188","46","17","67","105","535"
"139",138,"DJ Augustin",2016,"31",7250000,2016,"27","DJ Augustin","PG","28","TOT","62","0","1178","148","350",".423","68","168",".405","80","182",".440",".520","103","128",".805","8","87","95","198","38","4","84","85","467"
"140",139,"Taj Gibson",2017,"33",1.4e+07,2017,"153","Taj Gibson","PF","31","TOT","78","71","1989","365","709",".515","3","13",".231","362","696",".520",".517","113","158",".715","158","327","485","73","41","65","105","163","846"
"141",140,"Lance Thomas",2016,"30",6191000,2016,"422","Lance Thomas","PF","27","NYK","59","5","1313","169","382",".442","44","109",".404","125","273",".458",".500","102","119",".857","34","97","131","53","22","7","57","109","484"
"142",141,"Jerami Grant",2018,"24",8333333,2018,"183","Jerami Grant","PF","23","OKC","81","1","1647","244","456",".535","32","110",".291","212","346",".613",".570","162","240",".675","86","233","319","57","31","77","54","155","682"
"143",142,"Jerryd Bayless",2016,"30",9424084,2016,"39","Jerryd Bayless","SG","27","MIL","52","18","1505","185","437",".423","101","231",".437","84","206",".408",".539","70","90",".778","21","120","141","163","47","11","73","111","541"
"144",143,"Bogdan Bogdanovic",2018,"26",9470614,2018,"54","Bogdan Bogdanovic","SG","25","SAC","78","53","2175","344","772",".446","129","329",".392","215","443",".485",".529","100","119",".840","31","192","223","258","72","16","125","172","917"
"145",144,"Ben Simmons",2018,"22",5903160,2018,"450","Ben Simmons","PG","21","PHI","81","81","2732","544","998",".545","0","11",".000","544","987",".551",".545","191","341",".560","145","514","659","661","140","70","278","211","1279"
"147",146,"Karl-Anthony Towns",2018,"23",5703600,2018,"483","Karl-Anthony Towns","C","22","MIN","82","82","2918","639","1172",".545","120","285",".421","519","887",".585",".596","345","402",".858","238","774","1012","199","64","115","159","285","1743"
"148",147,"Markelle Fultz",2018,"20",7026240,2018,"167","Markelle Fultz","SG","19","PHI","14","0","253","45","111",".405","0","1",".000","45","110",".409",".405","10","21",".476","11","32","43","53","12","4","17","22","100"
"149",148,"CJ Miles",2017,"31",7936509,2017,"302","CJ Miles","SF","29","IND","76","29","1776","281","647",".434","169","409",".413","112","238",".471",".565","84","93",".903","30","199","229","48","46","25","40","151","815"
"150",149,"Avery Bradley",2018,"28",1.2e+07,2018,"61","Avery Bradley","SG","27","TOT","46","46","1433","259","625",".414","75","203",".369","184","422",".436",".474","63","82",".768","22","94","116","94","51","8","101","92","656"
"151",150,"Zach Randolph",2017,"37",12307692,2017,"371","Zach Randolph","PF","35","MEM","73","5","1786","433","964",".449","21","94",".223","412","870",".474",".460","141","193",".731","182","416","598","122","38","10","99","136","1028"
"152",151,"Garrett Temple",2016,"32",8e+06,2016,"419","Garrett Temple","SF","29","WAS","80","43","1951","201","505",".398","89","258",".345","112","247",".453",".486","91","125",".728","36","176","212","140","69","18","64","195","582"
"153",152,"Lou Williams",2018,"32",8e+06,2018,"520","Lou Williams","SG","31","LAC","79","19","2589","582","1337",".435","186","518",".359","396","819",".484",".505","432","491",".880","40","158","198","417","85","19","234","106","1782"
"154",153,"Brandon Ingram",2018,"21",5281680,2018,"238","Brandon Ingram","SF","20","LAL","59","59","1975","358","761",".470","41","105",".390","317","656",".483",".497","192","282",".681","57","257","314","230","45","43","149","163","949"
"155",154,"Shaun Livingston",2017,"33",7692308,2017,"268","Shaun Livingston","PG","31","GSW","76","3","1345","173","316",".547","1","3",".333","172","313",".550",".549","42","60",".700","28","123","151","139","38","20","62","120","389"
"156",155,"Patrick Beverley",2015,"30",6486486,2015,"46","Patrick Beverley","PG","26","HOU","56","55","1727","204","532",".383","115","323",".356","89","209",".426",".492","45","60",".750","67","170","237","192","59","23","83","182","568"
"157",156,"DAngelo Russell",2015,"22",5103120,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"158",157,"DeAndre Jordan",2018,"30",22897200,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"159",158,"Lonzo Ball",2017,"21",6286560,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"160",159,"Kyle Korver",2017,"37",7e+06,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"161",160,"Doug McDermott",2018,"27",7333334,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"162",161,"Jaylen Brown",2016,"22",4743000,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"163",162,"Ersan Ilyasova",2018,"31",7e+06,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"164",163,"Bojan Bogdanovic",2017,"29",10500000,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"165",164,"Jeremy Lamb",2016,"26",7e+06,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"166",165,"Langston Galloway",2017,"27",6666667,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
