"","Player","Tm","seson18_19"
"318","Denzel Valentine","CHI",2280600
"319","Larry Nance","CLE",2272391
"320","Kevin Huerter","ATL",2250960
"321","Monta Ellis","IND",2245400
"322","Harry Giles","SAC",2207040
"323","Darius Miller","NOP",2205000
"324","Derrick Rose","MIN",2176260
"325","Omri Casspi","MEM",2176260
"326","Juan Hernangomez","DEN",2166360
"327","Greg Monroe","TOR",2165481
"328","Quincy Pondexter","SAS",2165481
"329","Jonas Jerebko","GSW",2165481
"330","Josh Okogie","MIN",2160720
"331","Raul Neto","UTA",2150000
"332","Matt Barnes","SAC",2133542
"333","Terrance Ferguson","OKC",2118840
"334","Grayson Allen","UTA",2074320
"335","Jarrett Allen","BRK",2034120
"336","Shelvin Mack","MEM",2029463
"337","Isaiah Thomas","DEN",2029463
"338","Spencer Hawes","MIL",2007058
"339","Georgios Papagiannis","SAC",2000400
"340","Torrey Craig","DEN",2e+06
"341","Chandler Hutchison","CHI",1991520
"342","OG Anunoby","TOR",1952760
"343","Ante Zizic","CLE",1952760
"344","Shabazz Napier","BRK",1942422
"345","Anderson Varejao","POR",1913345
"346","Aaron Holiday","IND",1911960
"347","Tim Duncan","SAS",1881250
"348","Tyler Lydon","DEN",1874640
"349","Larry Sanders","MIL",1865547
"350","Henry Ellenson","DET",1857480
"351","Anfernee Simons","POR",1835520
"352","Trey Burke","NYK",1795015
"353","Malik Beasley","DEN",1773840
"354","Moritz Wagner","LAL",1762080
"355","Nerlens Noel","OKC",1757429
"356","Ian Clark","NOP",1757429
"357","Caleb Swanigan","POR",1740000
"358","Furkan Korkmaz","PHI",1740000
"359","Joakim Noah","MEM",1731173
"360","Landry Shamet","PHI",1703640
"361","Caris LeVert","BRK",1702800
"362","Jonah Bolden","PHI",1690000
"363","Kyle Kuzma","LAL",1689840
"364","Tony Bradley","UTA",1679520
"365","Derrick White","SAS",1667160
"366","Spencer Dinwiddie","BRK",1656092
"367","MarShon Brooks","CHI",1656092
"368","Josh Hart","LAL",1655160
"369","Robert Williams","BOS",1654440
"370","Jacob Evans","GSW",1644240
"371","Pat Connaughton","MIL",1641000
"372","DeAndre' Bembry","ATL",1634640
"373","Dzanan Musa","BRK",1632240
"374","Nik Stauskas","POR",1621415
"375","Noah Vonleh","NYK",1621415
"376","Tim Frazier","NOP",1621415
"377","James Ennis","HOU",1621415
"378","Omari Spellman","ATL",1620480
"379","Luke Kornet","NYK",1619000
"380","Rodions Kurucs","BRK",1618320
"381","Richaun Holmes","PHO",1600520
"382","T.J. McConnell","PHI",1600520
"383","Malachi Richardson","TOR",1569360
"384","Jahlil Okafor","NOP",1567007
"385","Kevon Looney","GSW",1567007
"386","Salah Mejri","DAL",1567007
"387","Pascal Siakam","TOR",1544951
"388","Skal Labissiere","SAC",1544951
"389","Dejounte Murray","SAS",1544951
"390","Damian Jones","GSW",1544951
"391","Deyonta Davis","SAC",1544951
"392","Jake Layman","POR",1544951
"393","Wade Baldwin","POR",1544951
"394","Timothe Luwawu-Cabarrot","OKC",1544951
"395","Cheick Diallo","NOP",1544951
"396","Malcolm Brogdon","MIL",1544951
"397","Rodney McGruder","MIA",1544951
"398","Ivica Zubac","LAL",1544951
"399","Quinn Cook","GSW",1544951
"400","Chinanu Onuaku","DAL",1544951
"401","Dorian Finney-Smith","DAL",1544951
"402","Willy Hernangomez","CHO",1544951
"403","Wayne Selden","CHI",1544951
"404","Georges Niang","UTA",1512601
"405","Christian Wood","MIL",1512601
"406","Derrick Jones","MIA",1512601
"407","David Nwaba","CLE",1512601
"408","Treveon Graham","BRK",1512601
"409","Sviatoslav Mykhailiuk","LAL",1487694
"410","Mitchell Robinson","NYK",1485440
"411","Jordan Bell","GSW",1378252
"412","Frank Jackson","NOP",1378242
"413","Thomas Bryant","WAS",1378242
"414","Royce O'Neale","UTA",1378242
"415","Frank Mason","SAC",1378242
"416","Davon Reed","PHO",1378242
"417","Khem Birch","ORL",1378242
"418","Wesley Iwundu","ORL",1378242
"419","Abdel Nader","OKC",1378242
"420","Damyean Dotson","NYK",1378242
"421","Sterling Brown","MIL",1378242
"422","Rade Zagorac","MEM",1378242
"423","Dillon Brooks","MEM",1378242
"424","Ivan Rabb","MEM",1378242
"425","Jawun Evans","LAC",1378242
"426","Sindarius Thornwell","LAC",1378242
"427","Ike Anigbogu","IND",1378242
"428","Maxi Kleber","DAL",1378242
"429","Dwayne Bacon","CHO",1378242
"430","Semi Ojeleye","BOS",1378242
"431","Daniel Theis","BOS",1378242
"432","Tyler Dorsey","ATL",1378242
"433","Kevin Martin","MIN",1360304
"434","Monte Morris","DEN",1349383
"435","Antonio Blakeney","CHI",1349383
"436","Tyrone Wallace","LAC",1349383
"437","Alfonzo McKinnie","GSW",1349383
"438","Ryan Arcidiacono","CHI",1349383
"439","Jabari Bird","BOS",1349383
"440","Daniel Hamilton","ATL",1349383
"441","Shaquille Harrison","CHI",1311265
"442","Elie Okobo","PHO",1238464
"443","Jalen Brunson","DAL",1230000
"444","Michael Carter-Williams","CHI",1200000
"445","Melvin Frazier","ORL",1050000
"446","Isaac Bonga","LAL",1e+06
"447","Justin Hamilton","TOR",1e+06
"448","Shelvin Mack","ORL",1e+06
"449","Kyle Singler","OKC",999200
"450","Devonte' Graham","CHO",988464
"451","De'Anthony Melton","PHO",949000
"452","Jason Thompson","GSW",945126
"453","Chasson Randle","WAS",869094
"454","Gary Trent","POR",838464
"455","Hamidou Diallo","OKC",838464
"456","Keita Bates-Diop","MIN",838464
"457","Jevon Carter","MEM",838464
"458","Bruce Brown","DET",838464
"459","Jarred Vanderbilt","DEN",838464
"460","Ray Spalding","DAL",838464
"461","Khyri Thomas","DET",838464
"462","Isaiah Briscoe","ORL",838464
"463","Chimezie Metu","SAS",838464
"464","Kenrich Williams","NOP",838464
"465","Alize Johnson","IND",838464
"466","Isaiah Hartenstein","HOU",838464
"467","Ryan Broekhoff","DAL",838464
"468","Brad Wanamaker","BOS",838464
"469","Isaiah Cousins","UTA",838464
"470","Martell Webster","WAS",833333
"471","Lorenzo Brown","TOR",8e+05
"472","Patrick McCaw","TOR",786000
"473","Cole Aldrich","MIN",685341
"474","James Nunnally","MIN",655632
"475","Carlos Delfino","LAC",650000
"476","Caron Butler","SAC",517219
"477","Dakari Johnson","MEM",459414
"478","A.J. Hammons","MIA",350088
"479","Festus Ezeli","POR",333333
"480","C.J. Watson","ORL",333333
"481","Patrick McCaw","CLE",323529
"482","Miroslav Raduljica","LAC",252043
"483","Ron Baker","WAS",170915
"484","Troy Williams","HOU",122741
"485","Demetrius Jackson","BOS",92857
"486","Shaquille Harrison","PHO",50000
"487","Garlon Green","NOP",50000
"488","Troy Williams","NOP",34183
